time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-12 00:00:00+00:00,67844,159,983,442
2021-08-13 00:00:00+00:00,66148,150,836,394
2021-08-14 00:00:00+00:00,66043,125,205,114
2021-08-15 00:00:00+00:00,65929,123,233,123
2021-08-16 00:00:00+00:00,67411,168,984,414
2021-08-17 00:00:00+00:00,66926,159,1056,472
2021-08-18 00:00:00+00:00,65352,163,975,437
2021-08-19 00:00:00+00:00,65325,155,972,480
2021-08-20 00:00:00+00:00,66286,152,848,386
2021-08-21 00:00:00+00:00,67125,138,211,131
2021-08-22 00:00:00+00:00,65819,141,212,124
2021-08-23 00:00:00+00:00,67508,164,877,487
2021-08-24 00:00:00+00:00,69531,176,786,389
2021-08-25 00:00:00+00:00,64527,172,887,453
