time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-07 00:00:00+00:00,30647,164,343,143
2021-09-08 00:00:00+00:00,31334,182,487,163
2021-09-09 00:00:00+00:00,29859,154,445,107
2021-09-10 00:00:00+00:00,30159,165,440,118
2021-09-11 00:00:00+00:00,28797,136,250,32
2021-09-12 00:00:00+00:00,28198,105,153,35
2021-09-13 00:00:00+00:00,29438,149,353,115
2021-09-14 00:00:00+00:00,31743,138,550,121
2021-09-15 00:00:00+00:00,31004,157,515,114
2021-09-16 00:00:00+00:00,28688,185,601,125
2021-09-17 00:00:00+00:00,27668,184,519,150
2021-09-18 00:00:00+00:00,24402,93,90,42
2021-09-19 00:00:00+00:00,24379,51,413,141
2021-09-20 00:00:00+00:00,24771,124,603,164
